text,likes,impressions,followers
chanyeol sent a food truck to junmyeon 🥺🥺🥺💘,1.0,63.0,1804.0
"That's the thing, Drack. I had a load of garlic the good kind to use. Popular. And went through it all overnight while I was upside down asleep. I wonder when Mario's gonna bring his food truck IRL *hiss #randomthoughts #videogames #nom #vampires",0.0,27.0,339.0
Bouda go make a smoothie,0.0,176.0,1991.0
"Had lunch with a dear friend. At the end, she told me she completely understands what I am going through with my husband dying, because she got divorced, which i supported her through, and I know it really devastated her. It still felt like a punch. #Anticipatorygrief #als",1.0,33.0,18.0
check on yalls food truck warrior oomf lmao,14.0,3176.0,203.0
Lunch... We'll go back to Wangshu Inn.,0.0,23.0,24.0
Alligator pepper soup 😮‍💨,1.0,89.0,625.0
Farmers market been weak lately.,0.0,7.0,17.0
"I really need a break from work, a break from everything really. Just like a chill couple of days where I can go to a garden and a farmers market and take naps and eat fruit and go hang out in nature",2.0,25.0,63.0
how can i describe this new fear i’ve adapted where it’s like if i eat let’s says salmon for lunch i’m not capable of eating any other protein after that or when a friend wants me to try their burger while i’m eating chicken i start freaking out in my head,4.0,458.0,3001.0
"Happy Sunday Funday. Here's a brunch cocktail to get you started! 
1 oz. Rabbit Hole Cavehill Bourbon
½ oz. Cointreau
7 dashes Angostura bitters
7 dashes Peychaud’s bitters
Champagne",7.0,964.0,6445.0
need to find a good smoothie spot,1.0,210.0,886.0
"Lemme go and watch this match in a bar, with 2 bottles of Guinness stout and a plate of catfish pepper soup. 

If Chelsea win, na match I come watch. If we lose, na flexing.",283.0,12690.0,93193.0
Nick insisted on eating with me and my friends at lunch and Tao is staring daggers at him from across the table,0.0,3.0,40.0
"Well, when I was a girl I learned that baking my cupcakes is going to help you – after all, frying all my nieces and nephews isn't a whirlwind.",0.0,1.0,15.0
"Yesterday I took myself out to lunch alone , I hate it was lonely as hell but imma try again soon.",1.0,83.0,745.0
TeddyKillerz: I fucking love french onion soup,1.0,82.0,660.0
anybody know of some good Thai food in Brooklyn?,1.0,184.0,721.0
worst part ab opening is that when it comes time for my lunch break its only 10am and lunch places arent open yet but its too late for breakfast bc ive been up since 4:30 am,1.0,68.0,612.0
I want some soul food,0.0,89.0,811.0
"I starting my lunch from now bc when I’m ready to eat, I don’t wanna be waiting",0.0,99.0,807.0
cutieee chanyeol sent a food truck to suho 🥰💛,0.0,45.0,1028.0
I know what I’m doing for dinner already lol but still no idea what i want for lunch 😩,0.0,36.0,844.0
traded in going to bars to getting brunch/lunch/dinner lmao,0.0,48.0,381.0
"Scientific fact: Tomatoes are technically a fruit because they have a saccharine based flesh that contains seeds.

Culinary fact: Ketchup is technically a smoothie.",17.0,479.0,2146.0
My fiancé stays feeding me good ass food I always have to come back to Germany and do a cleanse. I’m worried about how it’ll be when we live together 😂,1.0,90.0,158.0
"TartaLi 

Zhongli finding a pregnancy test on his office desk after talking to a client. He’s about to return it to the woman but Childe came to pick him up for their lunch.

💧You’re pregnant?!
🔶I’m not—
💧Since when?
🔶This is not—
💧Not mine?!?
🔶NO! I meant I’m not pregnant!",260.0,3755.0,6162.0
AHHHHH CHANYEOL GAVE FOOD TRUCK TO SUHOOO 😻,1.0,31.0,197.0
"Smoothie &amp; Sampling with a splash of Homemade Apple Cinnamon Oatmeal
.
Enjoy your day",9.0,826.0,1953.0
Came to church to eat and now how do I ask if the food is halal 😭,3.0,1189.0,1165.0
Society eats so much junk food that eating real food is considered dieting,0.0,240.0,203.0
Anyway am auto unfollowing or blocking people who write essays on my twitter 🙄 look man I’m not here for your novel length recount of what you had for lunch,16.0,1336.0,18646.0
"Today is instant yakisoba, so let's prepare it with care, poyo~☆",0.0,5.0,85.0
"You have a big circle of friends but none of them knows if you had lunch🤔, young king you’re alone in this world👌",2.0,40.0,1513.0
Cooking dinner tonight. Well lunch for dinner,1.0,235.0,2083.0
"Americans, it’s your drugs, food and diets killing you. If only you would ban unneeded meds. McDonalds and bars like you banned children’s lives, you may have actually saved lives.
Instead, you ruined them.",2.0,55.0,1851.0
"Recipes of the Week

Looking for recipes to try this year? Let’s explore together!

To kick things off, let’s start with a popular Japanese dish: Teriyaki Chicken! 🇯🇵

Here’s a compilation of 6 Teriyaki Chicken variants which you can try:",0.0,10.0,5.0
Sometimes you need a simple meal like Ramen Noodles. Don't judge me. I said what I said.,1.0,47.0,1171.0
"# Inspire Investing chief says environmental, social and governance strategies have been weaponised 🍐🍳🥚🍤🥕🌽🍌🍉🍒🍈🥑🍇🍓🍐🥨🍎🍳🥚🥨🥩🍖🍗🍍🍑🥓🥙🍑🍳🥚🍤🍖🍗Al desko to alfresco: three of London’s most fascinating lunch-break walks",0.0,0.0,1.0
# Chinas Bank of Qingdao has taken the Hong Kong-based company to court 🥐🥖🥞🍯🍞🥐🥖🍎🍐🍊🥫🍳🥚🍋🍌🍉🥦🍎🍍🍑🍇🍓🍅🥕🌽🍳🥚🍲🍐🍳🥚Home cocktail-making boosts revenues despite supply chain disruptions,0.0,2.0,4.0
"CHRISTOPHER CAREY, ST. LOUIS POST DISPATCH BUSINESS REPORTER TOOK ME TO LUNCH AND COLLECTED INFO. HE WAS NO LONGER ALLOWED TO WRITE ABOUT MYSELF OR COBALT SITE. HIS ONLINE SHARESLEUTH WAS LATER BOUGHT BY BILLIONAIRE MARK CUBAN.",1.0,28.0,934.0
First new recipe of 2023 happening today! Lemon garlic chicken. I'm serving it with roasted butternut squash and pilaf,3.0,119.0,167.0
When I’m home my mom loooooves to say “can you make lunch” and then leave,2.0,57.0,26.0
"A lunch date or a coffee date during the week works so much better for me! As a single parent, my minions are in school so I don't have to ""find a sitter"". That gives us time to talk, enjoy the food, walk around for a little etc uninterrupted",3.0,155.0,2592.0
"Workout and then lunch. 
Hope everyone has a wonderful day today.",2.0,54.0,982.0
"We do business together, we marry each other you buy my spare parts, I chop your suya but when It comes to elections, making a critical decision which will bring development. you become my hardcore enemy.courtesy of our leaders . We need to wake up",6.0,344.0,2613.0
I made this smoothie thick as a mf I’m eating it with a spoon😂 I refuse to rewash this blender,1.0,84.0,670.0
I love cooking for people but a meal prep job...whew I need to practice my time management in the kitchen and refine my skills. Also I'm not hella familiar with cooking Korean cuisine so they better get used to Caribbean/fusion food.,5.0,185.0,1375.0
This little diet and gym shit is kicking my ass. I just wanna be rich and get lipo…,0.0,189.0,13371.0
chanyeol sent a food truck to suho 🥹,0.0,73.0,308.0
"Iru and garri for lunch, you nko",0.0,24.0,176.0
"Yeah, Im losing weight rapidly on this liquid diet, but on the bright side, I'm feeling great!

No sluggishness or bloating whatsoever just pure energy and focus.

20 more days to go on this liquid diet, it’s challenging, but increased energy makes it worth it.",21.0,1555.0,25963.0
FOOD TRUCK FROM CHANYEOL 😭❤️,0.0,31.0,382.0
"My Sunday Plan: 2 errands, lunch, 🎄 takedown, &amp; some sm 🏡 tasks then chilling in the evening provided I don’t get distracted",0.0,31.0,601.0
"Making Paella tonight: chicken, sausage, saffron, whole lot of paprika.",1.0,63.0,1376.0
Dal khichdi is my fav comfort food man. Can never go wrong with it,2.0,313.0,1106.0
chanyeol sent a food truck to junmyeon 😭😭😭 what if umiyak ako fr fr???!,2.0,120.0,223.0
I’m hungry guess I’ll eat my lunch at like 11,0.0,136.0,14180.0
"Hi, I'm back on my 4 hours a night sleep schedule. Today I remembered to add honey to my smoothie. I'm waiting for a pizza to finish cooking. I plan on setting aside time to read today. I might do another load of laundry, but I'm definitely going to continue organizing/cleaning.",5.0,98.0,320.0
miss my ex just bcs of instant noodle. 🤧,0.0,31.0,538.0
"Y'all health mofos need to wake up on the benefits of the Mediterranean Diet. Yeah switch the protein upwards but only eating rice and chicken just doesnt feel the same. Get that extra virgin olive oil veggies, fruits, legumes, nuts in your system and feel the difference",0.0,56.0,140.0
Please don’t judge me but for lunch I have consumed a bounty bar and a huge wedge of Xmas cake,1.0,46.0,67.0
I want a smoothie maker.,0.0,98.0,3172.0
For the last 2 years Me and Wife spin a globe and wherever we stop at is where we get Lunch…Today is Lebanese 🔥🔥🔥🔥,11.0,715.0,1394.0
My toxic trait is I load $25 onto my @ChickfilA app just to have ‘free’ lunch for the next days,3.0,594.0,891.0
'Are you eating?' Sapnap chews. 'Yes.' 'In the middle of my super emotional conversation?' 'It's my lunch.' (HW),0.0,19.0,15.0
"My Dad, 80, casually revealed at lunch today that he was the Director of the Scottish Manned Spaced Flight Programme. He had a tie and everything. How did I not know this? 🚀🏴󠁧󠁢󠁳󠁣󠁴󠁿😂",1.0,58.0,138.0
"Just got my copy of @thefullhelping’s The Vegan Week cookbook and OMG it’s gorgeous! Especially the paper used for the pages. 

This is my seventh or eighth cookbook I’ve recipe tested for and it’s always an honour. Can’t wait to dive back into these recipes!",1.0,85.0,120.0
ice cream will always be my comfort food,1.0,32.0,11.0
Abeg Abeg ! Naming ceremony/ burial jollof rice dey hungry me chop like this..any location???,0.0,69.0,166.0
all these food trucks whew it's exo's actor era truly,0.0,27.0,737.0
"go grab some lunch nd
eat some cucumberrrrs
/lyrics",0.0,44.0,185.0
# Revenue is up for the group that runs cash-for-crypto kiosks but it is hard to see how growth can be sustained 🍇🍓🍅🥕🌽🍳🥚🍲🍐🍳🥚🍤🥕🌽🍌🍉🍒🍈🥑🍇🍓🍐🥨🍎🍳🥚🥨🥩🍖🍗🍍🍑Russia’s invasion to have ‘enormous impact’ on world food supplies,0.0,77.0,1.0
chanyeol sent a food truck for junmyeon 🥺,0.0,20.0,1970.0
any1 on dis tl ever tried cutting out sugar from their diet?,0.0,238.0,284.0
"I just want to make me breakfast , lunch , dinner , play my game and watch my show with my phone on dnd .. Don’t bother me I’m in my own world",0.0,98.0,5792.0
chanyeol sent a food truck to junmyeon's filming site 🥺🤍,2.0,50.0,214.0
"Interesting Sunday lunch conversation. A consensus that life at the start of 2023 could not be expressed in such emotions as anxiety, despair, hope or faith but only as unutterable boredom. Now I know that the system is doomed. People cannot stand to be bored for long.",2.0,95.0,1498.0
Chanyeol sent food truck to his junmyeon hyung 🥺,0.0,33.0,248.0
"Everyone in my household will be

- optimal blood chemistry
- optimal blood pressure
- less than 20% body fat
- BMI 25-30
- if you are 173cm then you'll not be heavier than 68kg
- abnormal teeth is corrected or removed before graduating GS &amp; HS
- whole food plant-based diet",0.0,19.0,1.0
"Azerbaijani media reports that a few days ago a Karabakh Armenian resident somehow managed to approach an Azerbaijani military post near Lachin to ask for food and cigarettes. Today, with plastic bags, he was taken to Stepanakert by Russian peacekeepers. Pics, videos circulating.",6.0,2361.0,12432.0
# Politicians and regulators have failed to plan sufficiently for the shock so far but there are steps they can take 🥐🥖🥞🍯🍞🥐🥖🍎🍐🍊🥫🍳🥚🍋🍌🍉🥦🍎🍍🍑🍇🍓🍅🥕🌽🍳🥚🍲🍐🍳🥚Home cocktail-making boosts revenues despite supply chain disruptions,0.0,0.0,0.0
"Look, when I was 22 I was skinny, white, clear, &amp;hot as fvck. my only diet was water, ramen, coffee, vodka&amp;capri. The only exercise I have is walking drunk at the party with my 5inches kitten heels. You don’t impress me. Come back when you’re 40😉",0.0,28.0,97.0
i think a lot of southern food started with french inspired recipes but eventually devolved into fried pork with nothing but salt,3.0,98.0,186.0
Swiss chocolate in the smoothie,0.0,351.0,7831.0
# Decision follows sharp rise in food prices due to Russias invasion of Ukraine and Covid pandemic 🥐🥖🍎🍐🍊🥫🍳🥚🍋🍌🍉🥦🍎🍍🍑🍇🍓🍅🥕🌽🍳🥚🍲🍐🍳🥚🍤🥕🌽🍌🍉🍒🍈🥑BlackRock to close two Russia-focused ETFs,0.0,1.0,0.0
"Aaaaa so sweet
Chanyeol sent food truck for Suho 🥰",0.0,66.0,314.0
Definitely want comfort food today.,0.0,101.0,1607.0
chanyeol sent a food truck for suho? 🥺🫶🏼,1.0,218.0,2036.0
chanyeol sent a food truck to junmyeon 🥺,0.0,33.0,370.0
"this is a lunch's menu, Deep fired Lamb🍖, severed with Spaghetti🍝 , then vegetable for today will recommend with Onion🧅",0.0,1.0,31.0
"There is no lunch or dinner in a dr's life , you eat when you get time.",12.0,557.0,1439.0
seems like chanyeol sent a food truck for junmyeon?? 🥹🥹,6.0,547.0,2060.0
I think I kinda messed up for Sunday 😂 I ate lunch at the cafe and still have a roast for dinner this evening. I feel so full and have to eat again in 3 hours.,0.0,19.0,526.0
I gave up on a healthy diet  because it’s hard.,0.0,0.0,20.0
Chanyeol sent a food truck to Junmyeon 🥹❤️,0.0,87.0,586.0
Any legal teens need money for lunch or selling content #BUYINGCONTENT #Sellingcontents,11.0,607.0,391.0
CHANYEOL SENT A FOOD TRUCK FOR JUNMYEON,5.0,126.0,740.0
chanyeol sent suho a food truck support 🥹🫶🫶,0.0,38.0,75.0
fun boy three is ltrlly my comfort food holy crap everytime i eat that shit i get reminded of how great life can be sometimes &lt;3 luv u threebuns,1.0,73.0,53.0
"Well, that was nice. Had plans to do not much today and then 5 friends with 4 dogs messaged as they'd driven out for a walk in the forest and wondered if we were able to join them in the pub down the road for Sunday lunch. Excellent unexpected hugs and food!",7.0,206.0,1338.0
This smoothie I just made 😋🔥,0.0,44.0,666.0
Chanyeol sent food truck for Junmyeon's filming!,0.0,47.0,418.0
Wait food truck from Chanyeol???,1.0,105.0,6082.0
CHANYEOL SENT JUNMYEON A FOOD TRUCK 😭😭😭😭😭,0.0,33.0,326.0
chanyeol sent a food truck for myeon 🥹,0.0,45.0,232.0
"20-21 Our Scriptures tell us that if you see your enemy hungry, go buy that person lunch, or if he’s thirsty, get him a drink. Your generosity will surprise him with goodness. Don’t let evil get the best of you; get the best of evil by doing good.",0.0,4.0,1.0
Stop! Chanyeol sent food truck to Suho! My heart ❤️ 🍒🐰,0.0,25.0,318.0
"My jollof rice come be like pap🌝 I don cook rubbish ooo 

Shege 1-0 Berry 🥹",3.0,258.0,11085.0
chanyeol sent a food truck on junmyeon’s set 🥺 my suyeol 🥹,0.0,47.0,31.0
"Just made this man’s packed lunch for the week and tbh I would wife me too!
Food bangs way too much🤤🤤🤤",0.0,51.0,304.0
I'm hanging out with my bf 9-11th February so that might mess with the abc diet a bit. Might switch around some of the 500 cal days and see if he has a gym nearby his campus/on his campus,3.0,144.0,436.0
"(Yawn) For today’s breakfast, Matthew has prepared some warm milk and fishoil tea. Mm… just the thought of it is… making me sleepy… (Yawn) see you at lunch, kids.",0.0,14.0,71.0
Nothing worse than scrolling thro after lunch and someone's got his dick out,1.0,81.0,311.0
"Any dommes in London today or next week that I can buy lunch or dinner for? Please dm x

findom finD findomme femdom paypig paypiggy finsub cashcow humanatm sph kiksession skypesession footbitch footfetish walletdrain cei joi ct pindick goddess domme exposure humiliation",12.0,505.0,150.0
"In Washington DC.
It's quite warm this Winter, now snow! Climate change is real! 
Organic food everywhere - Green Tea!
Say NO to GMO!",132.0,49060.0,137714.0
Name one cuisine which is halal but you've never tried it?,4.0,135.0,1107.0
cHANYEOL SENT A FOOD TRUCK TO JUNMYEON 😭😭😭,0.0,41.0,2197.0
"Day 8 of #DryJanuary and low kcal diet, and I'm already thinking about what treat I can have on the 28th for the #RoyalRumble 😂👋",2.0,208.0,1846.0
Made such a nice lazy Sunday lunch 🫶🏾,1.0,180.0,4663.0
“i feel like i have ‘english teacher the closest kids have lunch with’ energy” “i wonder why that is. do you think it’s the rainbow earrings? the mushroom sweater? or maybe the flower socks?”,5.0,183.0,668.0
i went to a really good restaurant last night that served a bunch of japanese italian fusion dishes and all i could think abt the whole time was kojiro nanjo and how i was absolutely gonna steal some of the dishes for a fic at some point,1.0,34.0,23.0
You go to one debrief lunch with gay people and then it traumatizes you for the rest of your life (hyperbole) I can’t live like this any longer (hyperbole),2.0,93.0,50.0
"i wanna count my obese brothers cals for a day lol he deadass ordered doordash every morning for breakfast, has fast food for lunch, and whatever for dinner AND eats a crazy amount of snacks. and then has the nerve to complain about being 300+ lbs 😭",0.0,32.0,47.0
"I’ve been to buy meds, I’ve taken the meds, I also bought comfort food and the Masters is on the telly. Feeling gritty but on the way to a warm and fuzzy evening.",3.0,71.0,836.0
Chanyeol sent food truck to Suho’s filming. Imma cry 🥹😭,0.0,40.0,1454.0
"[230108] 23:54 — 🐺

hello~~~

i’m practicing right now~🤩

i’m practicing for the concert

i’m on a diet so i’m not eating anything amazing

practicing the fanchant doesn’t sound too bad?!?

sushi is a diet food..

but today is real diet

pork belly is protein

+",104.0,4063.0,2566.0
"My dad asked me to come visit today and thirty minutes into my visit he and my mum left to their friend’s place. Almost two hours later, he calls me to tell me that he sent someone to come get me so I come eat. I get here and it’s a whole 25th anniversary lunch for my parents??",0.0,275.0,354.0
"Ma gran thinks my son can do wrong...

My son doesn't eat his lunch: Oh, he's a good boy!

My son is cheeky: Oh, he's a good boy!

My son causes WW3: Oh, he's a good boy!",1.0,121.0,540.0
# At least one corner of the cryptosphere is booming 🍖🍗🍍🍑🥓🥙🍑🍳🥚🍤🍖🍗🍊🍇🍓🍬🍫🍿🍩🍪🍒🍈🥑🍳🥚🍤🍒🍊Russia and Ukraine sign grain deal to avert global food crisis,0.0,0.0,0.0
"diet plan for next few weeks
- finish 111hr fast on jan 11th
- 100cal on jan 11th, daily then increase by 100cals, ending on 800cal
- 5 days of maintenance 800-1k cals net
- 70cals a day for one week or however long i wanna go, then slowly increase cals back to a maintenance week",0.0,68.0,171.0
"Today’s lunch: some apple slices 

Current weight: 65.2 kg 

How do u guys ween urself off certain foods u like? #edtwt",0.0,96.0,16.0
Stop dating people that only want you when you’re aesthetically pleasing!!!!!!!!YES a snack is a quick fix 👀 but there is nothing like soul food,1.0,23.0,38.0
"Blackcap in the garden lunch time.  Hoping it might reappear for a photo but no luck so far.  First winter one I've had here, once again it's down to the draw of ivy berries.",3.0,155.0,267.0
"I’m fine with problematizing/ not teaching Western canon.

European culture really only should be for people who go to Europe annually, live in a city w/ good Shakespeare productions, can afford the food/ wine, have leisure time for Russian novels.

Make it elitist again.
…",67.0,9843.0,12292.0
"Your diet should consist of more nutrient dense foods with little solid fats and less added sugars 

More nutrient dense foods provide more nutrients per calorie 

They're also less calorically dense than your typical processed, wrapped foods.",0.0,34.0,94.0
Fasting works better and quicker than dieting ‼️,1.0,153.0,258.0
"Saw a girl I went to high school out at Sunday lunch today and offered to hang out with her sometime and I don’t know why I did that, I do not want to hang out. Ever.",1.0,446.0,118.0
"This Mon, I will make 🌮 for lunch 💃",0.0,0.0,14.0
"so i’ve seen a few tiktoks saying that changing your diet is the way to lose weight?? and not exercise?? surely that’s wrong, i can stop eating but i’m still consuming calories and not burning them off? or am i just being stupid",0.0,51.0,1158.0
"I was thrown out of weight watchers this afternoon for making sarcastic comments during the weigh in.
Of course, I accepted their decision with enormous Grace because she was thrown out too.",616.0,15947.0,30371.0
Happiness is... baking a cake and gobbling it all up without guilt.,2.0,126.0,5248.0
Cracked the BEST streusel coffee cake recipe. So so good 🤤,2.0,330.0,3112.0
"Hello peoples! I have a smoothie recipe for you!

THIS MAKES 2 SERVINGS!

1 1/2 cups of almond milk
1/4 cashew butter
1 scoop of protein powder
1 banana
1 cup of ice (Or more to the consistency of your liking)
Then Blend!",1.0,10.0,9.0
Pepper soup and white rice combo is 🥵,12.0,1045.0,5359.0
Lemme make my protein smoothie 😊,0.0,30.0,3776.0
Pho is my comfort food,0.0,21.0,109.0
And I want African food 🤦🏾‍♂️,0.0,78.0,692.0
risking a delivered ramen w/soup today,1.0,12.0,76.0
"My ultimate diet cheat flex is that I actually like oat and a lot of veggies, and also not like sugar and fried stuff",4.0,450.0,451.0
I act like I'm okay but deep down I miss Nepal ko Momo,0.0,46.0,195.0
I’m already thinking about what’s for lunch 😂 I do not eat breakfast the way I need too,0.0,155.0,226.0
I made Sunday lunch today &amp; now everyone is looking at me with eyes of concern 😅,0.0,237.0,122.0
fulfilled the prophecy of being a dual citizen (ate burger king at the airport as my last meal in spain),2.0,60.0,210.0
"Here's an easy one. Create your lunch with bok choy, fish, béchamel sauce, and fregula 🤪",0.0,0.0,8.0
"this is a lunch's menu, Roasted Mushroom🍄, severed with Potatoes🥔 , then vegetable for today will recommend with  Leafy Green🥬",0.0,0.0,31.0
i care for Mario because they stole my lunch money!,1.0,7.0,119.0
"# Two sensible, crowded trades 🥐🥖🥞🍯🍞🥐🥖🍎🍐🍊🥫🍳🥚🍋🍌🍉🥦🍎🍍🍑🍇🍓🍅🥕🌽🍳🥚🍲🍐🍳🥚Home cocktail-making boosts revenues despite supply chain disruptions",0.0,0.0,1.0
"Been out for Sunday lunch, now back to read more of #TheBulletThatMissed whilst the snooker is on in the background. Bliss.",3.0,115.0,294.0
Thinking about having this lunch thing with my sisters during the week when they both are in the office... We dont bond like at all 😩,3.0,162.0,2537.0
"ㅤ
ㅤ
      psht , students. 

how about we organise a fair , here at the nevermore academy ?  
          food trucks , rides 
                      and
                    games !

( ps ; if your name ends with weems -- don't read this , it is a surprise. )",6.0,359.0,323.0
Attempting to make Southern Sea Food Gumbo with my Great Aunt’s recipe. Wish me luck ☺️,0.0,330.0,549.0
"Even better with age. Unlike the brewery. It's ok, but nothing pops on the right. Damned fine!!!!",0.0,10.0,47.0
"Last night I looked at myself in the mirror, was repulsed so i punched the hell out of my stomach 🙃 I hate how I look. Really really really hate how I look but I have zero motivation for diet changing and fitness. Little depression demon is keeping me down.
#mentalhealth",1.0,19.0,99.0
I miss drinking Kombucha for free at work lml I need to get some it’s been a while,0.0,150.0,272.0
I used to have 500 pesos a day for lunch money(2016) now you’re telling me kids are getting 5k a week?!? Fuck this I ain’t getting a child💀,14.0,1812.0,4660.0
I had a dream I was in NYC eating Jollof Rice. Think it’s a sign to go back .,1.0,52.0,63.0
"I don’t get how nobody talks about beetroot on here. It’s insanely low calorie, very filling, absolutely delicious and has so many health benefits, how can you NOT eat it especially if you’re on a diet..justice for beetroot.",7.0,151.0,1087.0
my college-kada planned to bring packed lunch na para iwas gastos this 2023 🤪🤘🏼,0.0,164.0,1231.0
Pizza 🍕 Type of day lunch time hurry up a chick ready to eat ! 😂,0.0,33.0,85.0
"Good morning Belleville! We open at 11am @quintemall location &amp; look forward to serving you.

Today's soup is Cream of Potato &amp; we're pleased to feature:

APPY: Half-Priced Wings
$13 Lunch Pizza: Your favorite!
Sandwich: Big Dipper",1.0,47.0,1123.0
Making lunch.,0.0,2.0,1.0
"We're all packed up. Going to take a walk on the beach, have some lunch, maybe to the store, dinner and head home. It was a good few days with family and friends but I'm ready to get back to our normal ❤️",12.0,598.0,391.0
"ive been on time alll week my boss said "" what you want for lunch its on mee. "" guess ima have to start coming on time more often 😅",0.0,65.0,737.0
"5 best doctors in the world.
1: Sun
2:Rest 
3:Diet
4:Exercise
5:Self-Respect",1.0,38.0,122.0
I think we are eating Ramen today 🫶🏻,1.0,171.0,327.0
I’m addicted I don’t even take a lunch break off 🤑🤦🏽‍♂️,0.0,41.0,171.0
Read War and Peace and drink some chilled kombucha from a medieval goblet.,0.0,0.0,20.0
"I asked this Turkish guy for directions, and I literally said thank you in Turkish. He then asked me if I wanted a job at the Turkish restaurant. 😂",2.0,282.0,488.0
Shroom smoothie,0.0,71.0,871.0
"Very insightful analysis by @AlexNeilSNP on the state of the Scottish Parliament today. In the early days of the Parliament I 'd worked with Alex on cross-party bills to abolish warrant sales, introduce free and healthy school meals and indeed Alex's own Bank Arrestment Bill /",13.0,3644.0,12052.0
Should give street food a shot tomorrow. Fingers crossed.,0.0,145.0,5470.0
# Decision follows sharp rise in food prices due to Russias invasion of Ukraine and Covid pandemic 🍐🍳🥚🍤🥕🌽🍌🍉🍒🍈🥑🍇🍓🍐🥨🍎🍳🥚🥨🥩🍖🍗🍍🍑🥓🥙🍑🍳🥚🍤🍖🍗Western sanctions disrupt traders’ ability to buy and sell Russian assets,0.0,3.0,0.0
I just realised I don’t have a favorite food per-se I have a comfort food,1.0,27.0,24.0
Time for lunch,0.0,6.0,150.0
back at school and i already miss cava and tropical smoothie 💔💔they need to make one over here,0.0,246.0,1740.0
# A choice between utopian and dystopian paths is likely to shape business for a decade 🍇🍓🍅🥕🌽🍳🥚🍲🍐🍳🥚🍤🥕🌽🍌🍉🍒🍈🥑🍇🍓🍐🥨🍎🍳🥚🥨🥩🍖🍗🍍🍑Russia’s invasion to have ‘enormous impact’ on world food supplies,0.0,1.0,2.0
I know it's like 10am here but I'm already really excited about my salmon and salad I have planned for lunch 😋😂,12.0,234.0,898.0
cheese toasties is an underrated breakfast/lunch,0.0,96.0,689.0
Binged the entirety of Darling In The Franxx and now I'm moving on to Spy X Family next! Any other anime recommendations I should check out to spending my lunch/evenings on?,3.0,191.0,142.0
church &amp; lunch with dad 🤍,0.0,267.0,2105.0
Bookmark this plant-based ONE-PAN MEDITERRANEAN DINNER 🌶️🥕🍠🍚follow @Iupilon for more easy healthy recipes!,0.0,19.0,377.0
Lunch time in brazil ! Go grab some food ! :),7.0,305.0,563.0
# Decision follows sharp rise in food prices due to Russias invasion of Ukraine and Covid pandemic 🥨🍎🍳🥚🥨🥩🍖🍗🍍🍑🥓🥙🍑🍳🥚🍤🍖🍗🍊🍇🍓🍬🍫🍿🍩🍪🍒🍈🥑🍳Wintershall Dea to receive no Russian revenues until sanctions lifted,0.0,6.0,2.0
